id,name,amount_controllers,amount_routers,amount_senders,amount_pestcams
2329,APP-Register-SBK_rob@advancedpestcontrol.co.uk,0,0,0,0
2344,APP-Register-SBK_carl@preysingmail.com,0,1,0,0
2118,Sociétè SIMI (Biosix),0,0,0,0
1870,SBK Krems,0,0,1,0
1881,Nector,0,0,0,0
1930,Adam Eastwood,0,0,0,0
1706,iX5 Pest Control,0,0,0,0
1978,XMI Biosix France,0,0,0,0
1730,MIB Berlin,0,0,0,0
1750,Baileys Pest Control Ltd,0,0,1,0
1759,Anticimex Denmark,0,0,0,0
1767,IPM Pestcontrol,0,0,0,0
1769,IPM Pestcontrol,0,0,0,0
2027,eMitter,0,0,0,0
1898, REWE Zentral AG Köln RB44,2,18,50,0
2022,(W2) Heinrich Kühlmann GmbH & Co. KG,2,8,98,0
2015,(W3 A) Heinrich Kühlmann GmbH & Co. KG,2,5,56,0
2024,(W3) Heinrich Kühlmann GmbH & Co. KG,2,11,96,0
2023,(W4) Heinrich Kühlmann GmbH & Co. KG,1,1,59,0
1974,... ALLO FRELONS,0,0,0,0
1163,0117 KESKUSVARASTO 1 VANTAA Hakkila,1,4,7,0
1839,1,0,0,0,0
1526,1 A Futura Direct ,19,0,12,0
1342,1 A Futura Lager,4,5,93,5
1686,11Berliner Wasserbetriebe,0,0,0,0
1800,1840,0,0,4,0
1370,1a Alfen Bauernhof,0,0,0,0
1304,1A demo Daniel ,2,0,8,3
1711,1A Demo Thomas,0,0,1,1
1594,1A Hanna´s Kunde,0,0,0,0
1386,1a Jens Morgenstern,0,0,3,1
1715,1A Judith Ratten im Garten,0,0,5,0
2037,1A Sebastian,1,1,1,0
1302,1a Test Site Steve ignore ,0,0,1,0
1046,1A Tobi´s Kunde,0,2,2,0
1743,1A Ulf Demo Copenhagen ,0,0,0,0
1655,1aaaaa,0,0,0,0
1783,360 Play,1,0,1,1
1704,4 Maple Way - DL5 6BF,0,0,2,0
1297,A Taste Of Poland - Gorey (Beep),0,0,4,0
2159,AAA 2G Controller ,165,0,0,0
2036,aaaa,0,0,0,0
1660,AbbVie - Ballytivnan ,3,11,233,0
1838,AbbVie - Manorhamilton Road,3,6,170,0
2224,abdul wahid,0,0,0,0
1977,ABM - GLA Trafalgar Square,1,1,5,0
1946,ABM - Wells Fargo,2,2,10,0
2359,AGRANA Stärke GmbH Gmünd,1,2,7,0
1211,AIB NI - Head Office Ann Street Belfast,1,3,17,0
1896,AIT - East Campus,1,3,55,0
2349,ajaykuttan,0,0,0,0
1443,Akut-SF-System RW,1,0,7,1
1338,Al Wahda Mall,1,0,6,0
1633,Aldgate Triangle ,0,0,0,0
967,Alemi Naturdärme,1,2,14,0
1300,Alle Kunden,3,13,59,0
968,Almo Erzeugnisse,2,0,20,0
866,Alpeco Head Office,1,0,1,0
874,Alpi,1,1,6,0
1535,Altmühltaler,1,5,22,0
1615,Alupak AG Belp,1,9,47,0
969,Amazonenwerke,1,0,20,0
1155,Amcor Flexibles EMEA- Valkeakoski,3,9,79,0
2377,amiri,0,0,0,0
1797,AML,0,0,1,1
1774,Andrei,0,0,0,0
2150,Andros Ingredients GmbH,1,2,12,0
1884,Andy Jowett Cams ,0,0,2,2
2318,angela,0,0,0,0
833,Angelina's - Dublin 4,1,1,8,0
1533,Angelkort Schädlingsbekämpfung GmbH,2,1,8,2
1367,Anglers Rest - Chapelizod,1,1,13,0
1927,ANIMAL PEST CONTROL SPRL,0,0,0,0
1442,Annadale B&B - Drumcondra (PG Alert),1,0,3,0
1405,Anticimex,0,0,0,0
1201,Anticimex,0,0,0,0
1529,API Test Customer,1,0,1,0
2270,app,0,0,0,0
2135,area 51 ,0,0,0,0
2279,Arkettr,0,0,0,0
1439,Arklow Chinese Takeaway - (Beep),0,0,6,0
2163,ARMOSA,0,0,0,0
1066,Arriva Train Care Eastleigh 87284,1,0,25,0
1527,Aryzta Werk 1 Mansfeld,0,0,0,0
1483,Aryzta Werk 2 Eisleben ,2,30,109,0
1485,Aryzta Werk 3 Eisleben ,2,23,107,0
1520,Aryzta Werk 4 Nordhausen,2,29,78,0
1418,Aryzta Werk 5 Eisleben ,3,23,161,0
1382,Aryzta Werk 6,3,25,165,0
1388,Aryzta Werk 7,2,21,172,0
1560,Aryzta Werk Artern,0,0,0,0
1995,As. Oy Espoon Oravatie,0,0,10,0
1957,"As. Oy Humiseva 1-3, Espoo",0,0,8,0
1293,Ashford House - Ashford (Beep),0,0,6,0
2001,"Asunto Oy Parolantie 4, Espoo",0,0,10,0
1987,"Asunto Oy Varistonpiha, Vantaa",0,0,10,0
1696,Athlone Institute of Technology - Athlone,1,3,40,0
1067,Atkins & Potts Hambridge Lane 93866,1,0,10,0
1068,Atkins & Potts Ltd Studland Estate 86621,1,0,44,0
2113,aurelio,0,0,1,0
